Vertices	Density	DFS Adj List Time (ms)	DFS Adj Matrix Time (ms)	BFS Adj List Time (ms)	BFS Adj Matrix Time (ms)
40	0.1	0.08	0.13	0.13	0.25
40	0.3	0.07	0.13	0.14	0.16
40	0.5	0.07	0.13	0.12	0.15
40	0.7	0.09	0.11	0.15	0.12
40	0.9	0.11	0.09	0.18	0.1
80	0.1	0.19	0.79	0.28	0.83
80	0.3	0.32	0.88	0.51	0.89
80	0.5	0.45	0.82	0.76	0.92
80	0.7	0.61	0.69	0.96	0.79
80	0.9	0.73	0.72	1.2	0.75
120	0.1	0.5	2.77	0.78	2.83
120	0.3	0.99	4.24	1.62	3.32
120	0.5	1.45	5.28	2.42	3.7
120	0.7	1.89	4.39	3.97	3.2
120	0.9	2.35	2.83	5.27	2.78
160	0.1	1.04	6.91	1.83	7.07
160	0.3	2.17	12.04	4.06	10.21
160	0.5	3.35	16.27	6.67	14.08
160	0.7	4.49	12.45	9.23	10.28
160	0.9	5.6	7.11	11.42	7.13
200	0.1	1.85	14.18	3.44	14.26
200	0.3	4.27	26.03	7.93	23.43
200	0.5	6.6	34.62	12.98	32.48
200	0.7	8.87	26.51	17.64	23.3
200	0.9	11.26	14.64	22.19	14.83
